,,PlusMinus,PlusMinus,GameID,Seconds
,,mean,std,count,mean
player,HomeAway,,,,
Ivan Rabb,Away,-5.444444444444445,8.535202001277671,18,302.3333333333333
Ivan Rabb,Home,-0.6875,5.629905268593187,16,227.0625
Ivica Zubac,Away,-0.5,5.033222956847166,16,150.5625
Ivica Zubac,Home,0.34782608695652173,7.62536851957258,23,158.17391304347825
J.J. Barea,Away,-1.0333333333333334,10.383950923497721,30,447.9
J.J. Barea,Home,1.0285714285714285,10.760728474918617,35,440.42857142857144
JaMychal Green,Away,-9.12,9.82479855603496,25,496.44
JaMychal Green,Home,-0.07407407407407407,10.144820299905707,27,510.44444444444446
JaVale McGee,Away,0.6944444444444444,8.56511010501973,36,194.75
JaVale McGee,Home,0.7142857142857143,7.106630824847472,35,184.54285714285714
Jabari Bird,Away,3.1666666666666665,6.306081720582652,6,82.5
Jabari Bird,Home,-2.2,8.899438184514796,5,325.2
Jabari Parker,Away,-4.421052631578948,11.44220156299421,19,415.94736842105266
Jabari Parker,Home,1.0625,9.29852138783366,16,455.25
Jake Layman,Away,1.1176470588235294,5.829690739451541,17,93.82352941176471
Jake Layman,Home,-2.7142857142857144,4.103067734654746,14,67.78571428571429
Jakob Poeltl,Away,1.2439024390243902,10.190143492132185,41,318.5121951219512
Jakob Poeltl,Home,3.911111111111111,10.767844011057397,45,343.02222222222224
Jalen Jones,Away,-1.4285714285714286,6.160550377391695,7,274.7142857142857
Jalen Jones,Home,-4.5,18.520259177452136,4,300.75
Jameel Warney,Away,-1.0,2.8284271247461903,2,225.0
Jameel Warney,Home,-1.0,,1,107.0
Jameer Nelson,Away,-7.666666666666667,14.46835627614047,3,268.0
Jameer Nelson,Home,-8.5,4.654746681256314,4,269.5
Jamel Artis,Away,4.0,12.884098726725126,5,384.2
Jamel Artis,Home,-3.4444444444444446,11.587828863845797,9,301.22222222222223
James Ennis III,Away,-3.0277777777777777,11.539958185393695,36,413.30555555555554
James Ennis III,Home,-2.6176470588235294,9.429208989872272,34,355.6764705882353
James Johnson,Away,-1.8285714285714285,10.277003781389256,35,492.7142857142857
James Johnson,Home,1.457142857142857,11.062237985312803,35,487.8857142857143
Jarell Eddie,Away,-4.5,0.7071067811865476,2,42.0
Jarell Eddie,Home,11.0,,1,23.0
Jarell Martin,Away,-6.323529411764706,11.58818779001637,34,416.38235294117646
Jarell Martin,Home,-1.5142857142857142,9.014274394378223,35,373.54285714285714
Jarrett Jack,Away,-2.4814814814814814,9.970612088187234,27,464.44444444444446
Jarrett Jack,Home,1.935483870967742,9.605330061554254,31,474.80645161290323
Jason Terry,Away,-0.7741935483870968,8.913322154390976,31,280.64516129032256
Jason Terry,Home,1.55,8.756801867540934,20,322.6
Jaylen Brown,Away,1.4,10.204381988376653,35,572.2
Jaylen Brown,Home,4.225,9.707220416016533,40,574.4
Jaylen Morris,Away,-16.0,4.242640687119285,2,292.0
Jaylen Morris,Home,-2.25,8.301606270274847,4,211.5
Jayson Tatum,Away,3.341463414634146,10.746184802285788,41,552.9024390243902
Jayson Tatum,Home,4.5227272727272725,12.15689800620176,44,596.3863636363636
Jeff Withey,Away,3.8333333333333335,4.708148963941845,6,62.5
Jeff Withey,Home,-1.3333333333333333,1.1547005383792517,3,36.0
Jerami Grant,Away,-0.8048780487804879,10.543290549432662,41,365.3414634146341
Jerami Grant,Home,2.4864864864864864,9.58187415448107,37,357.13513513513516
Jeremy Evans,Home,-4.0,,1,94.0
Jeremy Lamb,Away,1.2285714285714286,13.83322027560023,35,456.45714285714286
Jeremy Lamb,Home,2.088235294117647,15.345254220588009,34,464.6764705882353
Jerian Grant,Away,-5.03125,9.361845610017633,32,430.0625
Jerian Grant,Home,-3.0,11.19611277079999,35,425.8285714285714
Joakim Noah,Away,0.5,4.654746681256314,4,114.0
Joakim Noah,Home,-4.0,4.242640687119285,2,32.0
Joel Bolomboy,Away,-2.3333333333333335,2.6583202716502514,6,111.5
John Collins,Away,-4.088235294117647,9.163060382826396,34,421.79411764705884
John Collins,Home,-1.7058823529411764,10.880979823762827,34,439.2647058823529
John Henson,Away,2.142857142857143,10.911793019057697,35,521.7714285714286
John Henson,Home,2.611111111111111,10.120072777202395,36,485.5833333333333
Johnathan Motley,Away,-2.75,7.704358692139331,8,303.25
Johnathan Motley,Home,1.0,9.16515138991168,3,197.66666666666666
Johnny O'Bryant III,Away,-0.5,4.669870694964938,14,156.21428571428572
Johnny O'Bryant III,Home,-3.8823529411764706,5.977900477395643,17,187.58823529411765
Jon Leuer,Away,-2.0,9.273618495495704,5,295.2
Jon Leuer,Home,4.666666666666667,7.505553499465135,3,303.6666666666667
Jonas Valanciunas,Away,0.15789473684210525,10.975467276365327,38,408.2631578947368
Jonas Valanciunas,Home,4.068181818181818,9.416456962871715,44,452.84090909090907
Jonathan Gibson,Away,5.0,,1,115.0
Jonathan Gibson,Home,-1.0,2.6457513110645907,3,274.6666666666667
Jonathan Isaac,Away,-3.642857142857143,10.594680398542128,14,330.07142857142856
Jonathan Isaac,Home,-7.222222222222222,5.585198693372013,9,312.44444444444446
Jonathon Simmons,Away,-4.1875,12.322121465857853,32,537.28125
Jonathon Simmons,Home,-3.8,11.05667219374799,25,584.12
Jordan Bell,Away,0.8787878787878788,7.227368019192636,33,209.36363636363637
Jordan Bell,Home,3.6176470588235294,8.43159536247478,34,265.0
Jordan Clarkson,Away,-2.391304347826087,9.228114800261125,23,391.7391304347826
Jordan Clarkson,Home,0.34615384615384615,12.221104066956661,26,453.9230769230769
Jordan Mickey,Away,-0.8333333333333334,4.833908011812665,6,238.16666666666666
Jordan Mickey,Home,-2.142857142857143,4.400299690093547,14,259.42857142857144
Josh Hart,Away,-4.333333333333333,9.825398797934948,27,420.51851851851853
Josh Hart,Home,1.15625,11.013508933680404,32,423.65625
Josh Huestis,Away,2.0,7.6773157073672715,35,239.14285714285714
Josh Huestis,Home,2.4193548387096775,8.693960330974553,31,246.29032258064515
Josh Magette,Away,-2.2222222222222223,9.175753072333869,9,184.44444444444446
Josh Magette,Home,2.5714285714285716,5.19156825558337,7,226.42857142857142
Josh McRoberts,Home,-0.5,3.5355339059327378,2,58.0
Josh Richardson,Away,-1.1578947368421053,12.91662728087114,38,580.5526315789474
Josh Richardson,Home,1.1025641025641026,10.888900364458229,39,611.6923076923077
Julius Randle,Away,-1.9714285714285715,10.928876252133783,35,523.2857142857143
Julius Randle,Home,0.4,13.543472266211536,40,463.125
Julyan Stone,Away,1.8181818181818181,6.794382706591995,11,164.54545454545453
Julyan Stone,Home,3.0,7.280109889280518,9,130.88888888888889
Justin Holiday,Away,-5.34375,13.613582816318937,32,603.0625
Justin Holiday,Home,0.8787878787878788,11.778575825830918,33,590.6363636363636
Justise Winslow,Away,-0.7941176470588235,10.128805044135433,34,414.11764705882354
Justise Winslow,Home,1.5483870967741935,14.247429498398228,31,441.35483870967744
Jusuf Nurkic,Away,1.2162162162162162,11.754751131954015,37,524.4324324324324
Jusuf Nurkic,Home,2.4473684210526314,10.859539008734169,38,482.44736842105266
Kadeem Allen,Away,1.0,3.338091841585121,8,122.25
Kadeem Allen,Home,-3.2857142857142856,5.219012860502955,7,101.57142857142857
Kay Felder,Away,-4.857142857142857,7.492853738253347,7,200.71428571428572
Kay Felder,Home,-2.125,3.9074105418879577,8,105.625
Kelly Olynyk,Away,0.9444444444444444,8.09565825240187,36,430.6388888888889
Kelly Olynyk,Home,3.5,11.726648528641322,36,448.9166666666667
Kemba Walker,Away,0.7428571428571429,12.535462302047355,35,642.0571428571428
Kemba Walker,Home,3.8285714285714287,16.01008085787296,35,651.6857142857143
Kent Bazemore,Away,-4.6,8.105340938180081,30,512.4
Kent Bazemore,Home,0.21875,12.047578728765645,32,492.40625
Kentavious Caldwell-Pope,Away,-1.3,9.210750839887199,30,625.7666666666667
Kentavious Caldwell-Pope,Home,0.6216216216216216,11.684156774004684,37,595.7297297297297
Kevin Durant,Away,2.261904761904762,15.833061309479378,42,693.547619047619
Kevin Durant,Home,9.405405405405405,11.852002783072994,37,657.1891891891892
Kevon Looney,Away,2.5789473684210527,9.146352334356141,38,274.6842105263158
Kevon Looney,Home,1.048780487804878,9.481432432687045,41,274.2926829268293
Khem Birch,Away,-0.6153846153846154,8.057485769337537,13,242.69230769230768
Khem Birch,Home,0.36363636363636365,9.51462760848466,22,264.8636363636364
Khris Middleton,Away,1.146341463414634,12.958705521018981,41,701.4634146341464
Khris Middleton,Home,1.2439024390243902,11.793600993345667,41,701.3170731707318
Klay Thompson,Away,1.5555555555555556,15.217447455822121,45,671.8666666666667
Klay Thompson,Home,8.75,9.407443861113391,40,649.725
Kobi Simmons,Away,-8.894736842105264,13.560132483956641,19,393.4736842105263
Kobi Simmons,Home,-3.3333333333333335,10.174239603781283,12,360.3333333333333
Kris Dunn,Away,-7.913043478260869,12.22111824774216,23,574.9130434782609
Kris Dunn,Home,-1.0833333333333333,10.688948647477252,24,540.25
Kristaps Porzingis,Away,-3.7142857142857144,12.546484994383317,21,581.5238095238095
Kristaps Porzingis,Home,3.52,10.859404526338755,25,578.32
Kyle Collinsworth,Away,-2.125,7.491105837369184,16,291.1875
Kyle Collinsworth,Home,0.8,10.705138952858109,15,279.46666666666664
Kyle Kuzma,Away,-4.588235294117647,8.308876768557841,34,579.5294117647059
Kyle Kuzma,Home,0.7567567567567568,12.12299331712127,37,570.6216216216217
Kyle Lowry,Away,1.7857142857142858,12.158577649254935,42,622.6904761904761
Kyle Lowry,Home,6.7560975609756095,11.222255762111462,41,608.219512195122
Kyle O'Quinn,Away,-2.3548387096774195,7.378113521746934,31,317.16129032258067
Kyle O'Quinn,Home,0.8,9.985117130137438,40,366.425
Kyle Singler,Away,0.6666666666666666,4.88535225614967,6,119.83333333333333
Kyle Singler,Home,0.0,4.396968652757639,4,27.5
Kyrie Irving,Away,3.5833333333333335,10.04302339141853,24,619.1666666666666
Kyrie Irving,Home,1.9230769230769231,12.531314621931976,26,588.0
Lance Thomas,Away,-5.083333333333333,6.124307541032118,36,343.0833333333333
Lance Thomas,Home,1.393939393939394,10.130212836915724,33,326.72727272727275
Langston Galloway,Away,-0.6153846153846154,8.546704268088012,26,210.6153846153846
Langston Galloway,Home,2.433333333333333,8.993036897715818,30,303.03333333333336
Larry Nance Jr.,Away,-3.2777777777777777,8.00592101146583,18,372.55555555555554
Larry Nance Jr.,Home,2.380952380952381,13.481380457787662,21,425.14285714285717
Lauri Markkanen,Away,-9.633333333333333,12.794080887157408,30,551.6333333333333
Lauri Markkanen,Home,-1.9090909090909092,12.610421375700627,33,564.4242424242424
Lonzo Ball,Away,-2.9565217391304346,10.346181820404547,23,678.6521739130435
